"word","freq"
"uuudufueuf",6
"uuuuduu",6
"uuuuufufue",6
"votebjp",6
"voted",6
"way",6
"womenempowerment",6
"yahi",6
"years",6
"across",5
"akhileshfirse",5
"akhileshonzee",5
"akhileshu",5
"alliancerattledmodi",5
"back",5
"bareilly",5
"best",5
"button",5
"city",5
"contribution",5
"deliveru",5
"developmentu",5
"distinguished",5
"eduaubeedubu",5
"exactly",5
"first",5
"following",5
"gaalipolitics",5
"good",5
"government",5
"gunda",5
"hamara",5
"har",5
"hello",5
"httpstcocsjvgs",5
"httpstcodmviwdzdf",5
"httpstcohhpmjku",5
"httpstcoirsgksdn",5
"httpstcoiviczqofg",5
"httpstcolrrjefek",5
"httpstconulu",5
"httpstcoopfuvnfq",5
"httpstcorbtnixzcx",5
"httpstcortbzdgisr",5
"httpstcowrxfuvnx",5
"httpstcoylgqfgoy",5
"job",5
"kaarnamaboltahai",5
"karte",5
"kasab",5
"knw",5
"koi",5
"lekin",5
"light",5
"lol",5
"lootboltihai",5
"loved",5
"may",5
"min",5
"open",5
"police",5
"prime",5
"promotes",5
"proud",5
"push",5
"rahulgandhi",5
"raving",5
"reaction",5
"read",5
"related",5
"religion",5
"resigns",5
"saalupbehaal",5
"sach",5
"schemes",5
"spokesman",5
"students",5
"thanks",5
"truth",5
"tumhara",5
"uauduuuf",5
"uauduuuuu",5
"ububuuuu",5
"ubuuueuu",5
"ucufucuu",5
"ucuuuu",5
"ucuuuue",5
"update",5
"uppoll",5
"uttampradesh",5
"uttarprau",5
"uubuucue",5
"uucuduufuuduueu",5
"uueuuc",5
"uueuuduufu",5
"uufudueuu",5
"uufuudubuc",5
"uuuaueuufu",5
"uuucua",5
"uuucuuu",5
"uuuduuduuuduf",5
"uuufu",5
"uuufufueuu",5
"uuuuufuueu",5
"votecongress",5
"votedevelopment",5
"whenever",5
"whether",5
"yeh",5
"youths",5
"acchedin",4
"action",4
"akbarpur",4
"alliance",4
"also",4
"arre",4
"asses",4
"banatein",4
"bcoz",4
"believe",4
"betweeb",4
"charkhachakridaaw",4
"chor",4
